size,avg_time_ms
100000,36.8175
200000,58.6316
300000,86.3351
400000,150.763
500000,144.739
600000,156.95
700000,185.318
800000,247.27
900000,242.883
1000000,271.245
1100000,299.571
1200000,328.501
1300000,358.181
1400000,386.18
1500000,415.009
1600000,446.712
1700000,475.189
1800000,504.642
1900000,534.029
2000000,561.891
2100000,593.701
2200000,619.023
2300000,650.682
2400000,685.304
2500000,745.445
2600000,740.099
2700000,778.176
2800000,801.957
2900000,833.622
3000000,856.558
3100000,891.386
3200000,955.581
3300000,953.457
3400000,984.787
3500000,1008.4
3600000,1044.83
3700000,1077.17
3800000,1104.34
3900000,1150.06
4000000,1190.53
4100000,1221.87
4200000,1250.27
4300000,1308.76
4400000,1305.72
4500000,1335.25
4600000,1366.39
4700000,1400.25
4800000,1423.5
4900000,1457.32
5000000,1513.61
5100000,1523.88
5200000,1546.86
5300000,1638.29
5400000,1643.28
5500000,1834.8
5600000,1938.37
5700000,2017.57
5800000,2044.35
5900000,1959.02
6000000,1980.01
6100000,2024.56
6200000,2171.4
6300000,2060.94
6400000,2017.72
6500000,2214.66
6600000,2089.87
6700000,2228.86
6800000,2275.9
6900000,2409.86
7000000,2432.63
7100000,2584.55
7200000,2592.77
7300000,2484.43
7400000,2514.76
7500000,2582.17
7600000,2606.1
7700000,2608.93
7800000,2704.32
7900000,2818.72
8000000,2829.89
8100000,2790.94
8200000,2972.08
8300000,2958.9
8400000,2925.53
8500000,2993.22
8600000,2971.75
8700000,2999.99
8800000,3009.54
8900000,3101.91
9000000,2912.88
9100000,3172.47
9200000,2901.42
9300000,2948.92
9400000,3373.68
9500000,3609.31
9600000,4172.22
9700000,3452.13
9800000,3217.69
9900000,3130.55
10000000,3143.62
