size,avg_time_ms
10000,2.1777
20000,4.61
30000,7.0831
40000,9.3289
50000,14.222
60000,17.2344
70000,22.2776
80000,23.5943
90000,26.0245
100000,30.2438
110000,31.68
120000,40.4935
130000,45.629
140000,47.7383
150000,50.9927
160000,54.246
170000,57.1427
180000,61.4165
190000,60.6554
200000,56.9304
210000,60.3029
220000,61.2383
230000,67.0026
240000,68.0934
250000,70.0547
260000,74.5733
270000,75.8564
280000,77.9235
290000,81.354
300000,83.3706
310000,88.9575
320000,87.9702
330000,90.6864
340000,93.7304
350000,95.1058
360000,102.299
370000,101.968
380000,102.807
390000,108.195
400000,112.296
410000,113.762
420000,116.613
430000,119.161
440000,122.096
450000,123.613
460000,126.643
470000,128.071
480000,129.216
490000,133.23
500000,139.368
510000,139.796
520000,138.258
530000,142.777
540000,148.295
550000,146.232
560000,153.711
570000,156.872
580000,158.4
590000,162.224
600000,159.699
610000,165.695
620000,171.457
630000,174.12
640000,172.65
650000,174.457
660000,179.927
670000,186.912
680000,185.905
690000,188.522
700000,185.129
710000,191.944
720000,193.171
730000,197.186
740000,205.773
750000,214.57
760000,210.799
770000,215.366
780000,213.486
790000,214.072
800000,221.462
810000,225.106
820000,227.694
830000,230.992
840000,225.222
850000,229.658
860000,242.136
870000,238.79
880000,286.77
890000,261.645
900000,269.106
910000,252.274
920000,287.835
930000,291.269
940000,264.31
950000,271.12
960000,272.411
970000,275.386
980000,276.299
990000,274.128
1000000,333.949
